123,66,49,32,17
80,44,33,22,12
60,33,25,17,9
48,27,20,14,9
40,23,17,12,8
34,20,15,10,8
30,17,13,9,8
26,16,12,9,7
24,14,11,8,7
22,13,10,8,7
20,12,9,7,7
18,11,9,7,7
17,11,8,7,6
16,10,8,7,6
15,9,8,7,6
14,9,7,6,6
13,9,7,6,6
12,8,7,6,6
12,8,7,6,6
11,7,6,6,5
10,7,6,6,5
10,7,6,6,5
9,7,6,5,5
9,6,6,5,5
8,6,5,5,5
8,6,5,5,5
8,6,5,5,4
7,6,5,5,4
7,5,5,5,4
7,5,5,4,4
6,5,5,4,4
6,5,4,4,4
6,5,4,4,4
5,4,4,4,3
5,4,4,3,3
4,4,3,3,3
4,3,3,3,3
4,4,4,3,3
5,4,4,4,3
5,4,4,4,3
5,5,4,4,4
5,5,4,4,4
6,5,4,4,4
6,5,5,4,4
6,5,5,4,4
6,5,5,4,4
7,5,5,5,4
7,5,5,5,4
7,6,5,5,4
7,6,5,5,5
7,6,5,5,5
8,6,5,5,5
8,6,6,5,5
8,6,6,5,5
8,6,6,5,5
8,6,6,5,5
9,6,6,5,5
9,7,6,6,5
9,7,6,6,5
9,7,6,6,5
9,7,6,6,5
9,7,6,6,5
10,7,6,6,6
10,7,7,6,6
10,7,7,6,6
10,7,7,6,6
10,7,7,6,6
10,7,7,6,6
10,8,7,6,6
11,8,7,6,6
11,8,7,7,6
11,8,7,7,6
11,8,7,7,6
11,8,7,7,6
11,8,7,7,6
12,8,7,7,6
12,8,8,7,6
12,8,8,7,6
12,8,8,7,6
12,8,8,7,7
12,9,8,7,7
12,9,8,7,7
13,9,8,7,7
13,9,8,7,7
13,9,8,7,7
13,9,8,8,7
13,9,8,8,7
13,9,8,8,7
13,9,8,8,7
14,9,8,8,7
14,9,8,8,7
14,9,9,8,7
14,9,9,8,7
14,10,9,8,7
14,10,9,8,7
14,10,9,8,7
15,10,9,8,8
15,10,9,8,8
15,10,9,8,8
15,10,9,8,8
15,10,9,8,8
