123,67,49,32,18
80,45,33,22,14
60,34,25,17,13
48,27,20,14,12
40,23,17,13,11
34,20,15,12,11
30,18,14,11,10
26,16,12,11,10
24,14,12,10,9
21,13,11,10,9
20,12,10,10,8
18,12,10,9,8
17,11,10,8,8
16,10,10,8,8
15,10,9,8,8
14,10,9,8,8
13,10,9,8,8
12,10,9,8,8
11,10,9,8,8
11,10,9,8,8
11,10,9,8,8
11,10,9,8,8
11,10,9,8,7
11,10,9,8,7
11,10,9,8,7
11,10,9,8,7
11,9,9,8,7
11,9,9,8,7
11,9,9,8,7
11,9,9,8,7
11,9,9,8,7
10,9,9,8,7
10,9,9,8,7
10,9,9,8,7
10,9,9,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,8,7
10,9,8,7,7
10,9,8,7,7
10,8,8,7,7
10,8,8,7,7
10,8,8,7,7
9,8,8,7,7
9,8,7,7,7
9,8,7,7,7
9,8,7,7,7
9,8,7,7,6
9,8,7,7,6
10,8,7,7,6
10,9,8,7,6
10,9,8,7,6
10,9,8,7,6
10,9,8,7,6
11,9,9,7,7
11,9,9,8,7
11,9,9,8,7
11,10,9,8,7
11,10,9,8,7
11,10,9,8,7
11,10,9,8,7
11,10,9,8,7
11,10,9,9,8
11,10,9,9,8
11,10,9,9,8
12,10,9,9,8
12,10,10,9,8
12,10,10,9,8
12,10,10,9,8
12,10,10,9,8
12,10,10,9,8
12,10,10,9,8
12,10,10,9,8
12,11,10,9,8
12,11,10,9,8
12,11,10,9,9
13,11,10,9,9
13,11,10,9,9
13,11,10,10,9
13,11,10,10,9
13,11,10,10,9
13,11,10,10,9
13,11,10,10,9
13,11,10,10,9
14,11,10,10,9
14,11,11,10,9
14,11,11,10,9
14,11,11,10,9
14,11,11,10,9
14,11,11,10,9
14,11,11,10,9
15,11,11,10,9
15,11,11,10,9
15,11,11,10,9
15,11,11,10,9
15,12,11,10,9
